config_hash,log_prime_sse,fitness,generation,param_D,param_eta,param_rho_vac,param_a_coupling,sse_null_phase_scramble,sse_null_target_shuffle,n_peaks_found_main,failure_reason_main,n_peaks_found_null_a,failure_reason_null_a,n_peaks_found_null_b,failure_reason_null_b
ce31152669a68df9bad0cf37b184eefa95e58b79df1882bd2d6606caafefbbaa,999.0,0.0,0,0.6820140522796018,0.05724313200384699,0.6459923931789072,0.6399413956431478,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
88995035f4d04a32242a78b2f44105c85e9424c9bfebef511f57f1b708f7cc49,999.0,0.0,0,2.036684623551306,0.8288285382900227,1.658612209050344,0.7697598673793268,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
94e87f3bc47b0d502f53cf43aa226eb5868c794a6ae2560b56864cd9cbd4841c,999.0,0.0,0,4.947304321014459,0.0723848783645568,1.188877556071933,2.691046709267501,0.12946600465601565,999.0,0,No peaks found in spectrum,1,,0,No peaks found in spectrum
e5e056b4253495c16f57387848b4850e5dba8b264ddc09e28ab24bc1b177071a,0.12946600465601565,206.99814217543613,0,1.0128501362314177,0.359479254932448,1.7495104449694265,2.027626746016068,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
7446e2c56d094a0ebe7caa484c48000042f3329ef8aa3c9ec4be10d4c880453d,0.12946600465601565,206.99814217543613,0,2.4789366777525603,0.22715997005968197,1.0297928118472892,0.10470750755467333,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
e5ce370a94220fb6845b04140a8b4fb973b09d097697e35d7549fa5cf621d579,999.0,0.0,0,1.5673064277106636,0.056179957756366354,1.098661074074397,2.9245502246092934,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
7d0e6796d36c372ad4e41a9e429c3a8f91c0f18f3e7d2f74b9b2dedbc30a8b23,999.0,0.0,0,1.052684454165202,0.015492623966824642,1.8280943670565182,0.6966878820920822,0.12946600465601565,999.0,0,No peaks found in spectrum,1,,0,No peaks found in spectrum
172ccfee0bdc148af09c9a7ccc2141a51004a8959f1638c11a2522bb5520be49,999.0,0.0,0,1.181098455537401,0.06851829592500787,0.7654444857172934,0.45922642762040944,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
c7210db49a3766f4782b300aef2a090c7cf45c02f2a1efbbff334b0bb3796782,999.0,0.0,0,1.6231089264596765,0.018620319652632875,1.884273314696417,2.4829399613450147,0.12946600465601565,999.0,0,No peaks found in spectrum,1,,0,No peaks found in spectrum
d7b1ad8ccedb78976123fbfba5eaafda84f2089458d50a01e9add2a656e6df5e,999.0,0.0,0,1.8701007237625307,0.17196265086081136,1.9145653119891337,0.8424066024820133,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
b14d268e4a0b48d4b64535843ed18360da01302db47301a1010ff9eae235df86,0.12946600465601565,206.99814217543613,1,1.0128501362314177,0.359479254932448,1.7495104449694265,2.027626746016068,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
335c9c9a0ba7bcfb701ef10c3af0b13b6d77776e4b1a359c8b42ed29d93ec22e,999.0,0.0,1,2.036684623551306,0.05724313200384699,1.658612209050344,0.7697598673793268,0.12946600465601565,999.0,0,No peaks found in spectrum,1,,0,No peaks found in spectrum
b9bd9f9e8f619b9ea3b5f0ef143e20b166a6ec3330e69ac32fbb66bfefb5323d,0.12946600465601565,206.99814217543613,1,1.0128501362314177,0.359479254932448,1.7495104449694265,2.027626746016068,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
4e501acf1c084a71d2f4f7be113883ee322a1bd5bc35c5f47eec51f4780beec8,999.0,0.0,1,1.052684454165202,0.015492623966824642,0.7654444857172934,0.6966878820920822,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
8bda513ac225d2158ddd1298a805bc4d4d4f4d3451c31c198e2abc3edc272ef6,0.12946600465601565,206.99814217543613,1,2.4789366777525603,0.22715997005968197,1.0297928118472892,0.10470750755467333,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
e01f114d12b518e617a66d42f4565dd01b4edd71b42301ac557806c3c343b96e,999.0,0.0,1,1.0128501362314177,0.359479254932448,1.7495104449694265,0.6966878820920822,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
f5bbb903f21dc79288120371ccd3125ccb23b7ae312ec388a5bbf0775fe9c142,999.0,0.0,1,2.036684623551306,0.8288285382900227,1.7495104449694265,2.027626746016068,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
021dc3e1724c03419a48b750becd20816158be2e6b534a50050aec2150ba80a0,999.0,0.0,1,1.8701007237625307,0.17196265086081136,1.9145653119891337,0.8424066024820133,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
8d333ff2333fc5ac9c847a98d4c03e2e5544655a010230a130689d1bb99ab182,999.0,0.0,1,1.0128501362314177,0.359479254932448,1.0297928118472892,2.027626746016068,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
02a4aa10395ce13122e6ab277979b46fa69226ddbe30d372af9e8350c3b45a5e,0.12946600465601565,206.99814217543613,1,2.4789366777525603,0.056179957756366354,1.0297928118472892,2.9245502246092934,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
10d411f01328533dc08271c51136d66b1463da307b76eadfb106fb01510ea024,999.0,0.0,2,1.0128501362314177,0.359479254932448,1.7495104449694265,2.027626746016068,0.12946600465601565,999.0,0,No peaks found in spectrum,1,,0,No peaks found in spectrum
425618a712d8a326dea258ea39a9e37bf916c8b38a9b3d728940f2b38b1c0982,0.12946600465601565,206.99814217543613,2,1.0128501362314177,0.359479254932448,1.7495104449694265,2.027626746016068,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
87f461fa617b49e22ad7002be2d4fd4a87bb6356cf257a55c26e54a16d86a00d,0.12946600465601565,206.99814217543613,2,2.4789366777525603,0.22715997005968197,1.0297928118472892,0.10470750755467333,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
0b85e7ee7ab8be997c612a95ae27d4f59c7190d5d8a5017820751d82c1f314b9,999.0,0.0,2,2.4789366777525603,0.22715997005968197,1.7495104449694265,2.027626746016068,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
e8a46d71244edb8482983ef71495a81d979d2273a1aa820e6ee5799a3c4aaa89,999.0,0.0,2,1.0128501362314177,0.359479254932448,1.7495104449694265,2.027626746016068,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
a0f3324fc664514ee640e3b63b19a4317eafb36101a269282fe71e4db1226026,999.0,0.0,2,1.0128501362314177,0.359479254932448,1.7495104449694265,2.027626746016068,0.12946600465601565,999.0,0,No peaks found in spectrum,1,,0,No peaks found in spectrum
6bf362d37709d26694a8540293f34c450db4faa73577d32532dc295851ae4396,0.12946600465601565,206.99814217543613,2,1.0128501362314177,0.359479254932448,1.7495104449694265,2.027626746016068,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
70af86cfc0e13365c3deb60a5c4f60c3cc411563625af7f8cb000c56ec4a5768,0.12946600465601565,206.99814217543613,2,1.0128501362314177,0.23497798488448005,1.7495104449694265,2.027626746016068,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
4d0da0ebb42d6a7600cfdad13a762699df108c01c989cd68a4017b407bff4c25,999.0,0.0,2,2.4789366777525603,0.06851829592500787,0.7654444857172934,2.9245502246092934,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
9016115cf522eb107949ce36ea6de43e4253c35fe3a7512c91dbc7beb2088f17,0.12946600465601565,206.99814217543613,2,1.0128501362314177,0.359479254932448,1.7495104449694265,2.027626746016068,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
ce3a3c046338f3890b097f5bb8c9f39f8919252f8de7d38eff7a079e52fc7798,0.12946600465601565,206.99814217543613,3,1.0128501362314177,0.359479254932448,1.7495104449694265,2.027626746016068,997.0,996.0,1,,1,Null A failed to differentiate from main SSE,1,Null B failed to differentiate from main SSE
8827e67d3087ee914ba96609ef08ed2fada1fe12ee822adfcfcbfffff8a6fd34,999.0,0.0,3,2.4789366777525603,0.8288285382900227,1.7495104449694265,2.027626746016068,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
2ceaa96e4f4107c05008bdcbfd5ba3a54a3a9220dc7f91b773bfad4b41e11dae,999.0,0.0,3,1.0128501362314177,0.359479254932448,1.7495104449694265,0.10470750755467333,0.12946600465601565,999.0,0,No peaks found in spectrum,1,,0,No peaks found in spectrum
d735582eef3f368b75e8e6627deb1cf36bcb0ac92ccc66c460d3a2968fe9f0e9,0.12946600465601565,207.19814217543612,3,2.4789366777525603,0.0723848783645568,1.188877556071933,0.10470750755467333,999.0,996.0,1,,0,No peaks found in spectrum,1,Null B failed to differentiate from main SSE
6a1d32ca2f95c792e6448b06621ad067df1d8a77507e69789a6b3e5bb66bc23f,999.0,0.0,3,1.0128501362314177,0.056179957756366354,1.7495104449694265,2.9245502246092934,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
eb648137ba532e9baa68da075fe9f5aa9abc090d92e8cc3686864afc92517c71,999.0,0.0,3,0.6820140522796018,0.05724313200384699,1.7495104449694265,0.6399413956431478,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
12420a6c86c3fdbb245969e02ad123b813c13813e9287d9e1108adb0e7da8035,999.0,0.0,3,1.0128501362314177,0.359479254932448,1.0297928118472892,2.027626746016068,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
96b4e2b85cd6400a041cf9c06dc5b80aa6f4bd5cf25229f900a5bb320c01d0b3,999.0,0.0,3,2.4789366777525603,0.359479254932448,1.0297928118472892,2.027626746016068,0.12946600465601565,999.0,0,No peaks found in spectrum,1,,0,No peaks found in spectrum
b5dad8cd62f08d446a167d66b5a6a80f9267e5f2597f4869d626d1e1f613e6d0,999.0,0.0,3,2.186805500756015,0.359479254932448,1.658612209050344,2.027626746016068,999.0,999.0,0,No peaks found in spectrum,0,No peaks found in spectrum,0,No peaks found in spectrum
